code,name,unit,price,quantity,category
"PA-1419","CAJA ELECT DELCO",UNO,"6000",2,"PIEZAS DE AUTO",
"PA-1420","CRUCETA LADA",UNO,"6500",4,"PIEZAS DE AUTO",
"PA-1427","CORREA YUNDAY",UNO,"3000",3,"PIEZAS DE AUTO",
"PA-1432","CALSO 100 MILL KM LADA",UNO,"14000",1,"PIEZAS DE AUTO",
"PA-1433","CALSO BARRA CLARIA",UNO,"24000",2,"PIEZAS DE AUTO",
"PA-1436","CRUCETA CLARIA 29MM",UNO,"15000",5,"PIEZAS DE AUTO",
"PA-1437","CULEBRILLA LADA",UNO,"5500",2,"PIEZAS DE AUTO",
"PA-1438","CULEBRILLA MOSK",UNO,"5500",3,"PIEZAS DE AUTO",
"PA-1440","CABLE EMERGENCIA MOSK",UNO,"8000",2,"PIEZAS DE AUTO",
"PA-1442","CENTRALITA",UNO,"10000",3,"PIEZAS DE AUTO",
"PA-1443","SELLO TURBINA LADA",UNO,"1700",49,"PIEZAS DE AUTO",
"PA-1444","CARBON MOSK",UNO,"4000",7,"PIEZAS DE AUTO",
"PA-1446","ELECTROVENTILADOR",UNO,"30000",2,"PIEZAS DE AUTO",
"PA-1448","FILTRO ACEITE LADA",UNO,"7000",22,"PIEZAS DE AUTO",
"PA-1449","FILTRO GASOLINA AZUL",UNO,"1300",10,"PIEZAS DE AUTO",
"PA-1450","FILTRO ACEITE YUNDAY",UNO,"6000",3,"PIEZAS DE AUTO",
"PA-1451","FILTRO ACEITE YILI",UNO,"3500",1,"PIEZAS DE AUTO",
"PA-1455","FOCO LADA 1600 TRASERO",PAR,"30000",1,"PIEZAS DE AUTO",
"PA-1459","GATO HIDRAULICO TIJERA",UNO,"20100",3,"PIEZAS DE AUTO",
"PA-1466","INTERRUPTOR MOTOR ARRANQUE LADA",UNO,"10000",2,"PIEZAS DE AUTO",
"PA-1468","INTERRUPTOR ESTACIONAMIENTO",UNO,"2500",4,"PIEZAS DE AUTO",
"PA-1469","JUNKILLO(BARREDOR)",UNO,"21000",2,"PIEZAS DE AUTO",
"PA-1470","JUNTA DE LADA MALETERO",UNO,"12000",2,"PIEZAS DE AUTO",
"PA-1473","JUEGO DE JUNTA BLOQ YUNDAY",UNO,"54000",13,"PIEZAS DE AUTO",
"PA-1475","KIT DE JUNTAS DE MOTOR LADA",UNO,"10000",7,"PIEZAS DE AUTO",
"PA-1489","LLAVIN PUERTA MOSK",UNO,"7000",2,"PIEZAS DE AUTO",
"PA-1519","CALSO MOTOR MOSK",PAR,"12000",1,"PIEZAS DE AUTO",
"PA-1597","JUNTA FINA PARA AUTOS",UNO,"5000",4,"PIEZAS DE AUTO",
"PA-1598","JUNTA GRUEZA PARA AUTOS",UNO,"10000",3,"PIEZAS DE AUTO",
"PA-1603","REPARACION SINFÍN LADA",UNO,"16000",2,"PIEZAS DE AUTO",
"PA-1605","TANQUE LIQUIDO CLOCHE Y FRENO",UNO,"4000",7,"PIEZAS DE AUTO",
"PA-1607","PORTA CHAPA AUTO",UNO,"12000",8,"PIEZAS DE AUTO",
"PA-1608","VENTANILLAS ELECTRICAS",PAR,"55000",1,"PIEZAS DE AUTO",
"PA-1609","JUNTA DE BLOCK YUNCHAY",UNO,"30000",2,"PIEZAS DE AUTO",
"PA-1610","DISCO DE CLOCHE CLARIA 21 DIENTE",UNO,"46000",2,"PIEZAS DE AUTO",
"PA-1613","TERMOSTATO LADA",UNO,"13000",1,"PIEZAS DE AUTO",
"PA-1619","PIZARRA DIGITAL TEMPERATURA",UNO,"10500",5,"PIEZAS DE AUTO",
