piso,code,name,unit,price,quantity,category
"Piso EMA","FF-1602","TOMA DE PANELES SOLARES",UNO,"2000",27,"FERRETERIA",
"Piso EMA","FF-1611","PASTA PARA SOLDAR",UNO,"2000",9,"FERRETERIA",
"Piso EMA","FF-1612","TUBOS DE ESTAÑO",UNO,"1500",9,"FERRETERIA",
"Piso EMA","FF-1615","CABLE PARA BOCINAS DE AUTO",m,"500",14,"FERRETERIA",
"Piso EMA","FF-1618","FUSIBLE 30 A",UNO,"100",184,"FERRETERIA",
"Piso EMA","FF-1626","CAJA DE PRESILLAS",UNO,"250",0,"FERRETERIA",
"Piso EMA","FF-1636","BASES DE RELAY",UNO,"1300",29,"FERRETERIA",
"Piso EMA","FF-1641","CORREA DE LAVADORA MODERNA",UNO,"2400",2,"FERRETERIA",
"Piso EMA","FF-1645","CAPACITOR 20 MF",UNO,"2000",0,"FERRETERIA",
"Piso EMA","FF-1649","ESPIRALES REPELENTES INSECTOS",UNO,"200",126,"FERRETERIA",
"Piso EMA","FF-1650","SPRAY REPELENTE",UNO,"2000",26,"FERRETERIA",
"Piso EMA","FF-1653","BUOS",UNO,"4500",0,"FERRETERIA",
"Piso EMA","FF-1654","CANDADO CIRCULAR MOTO Y BICICLETA",UNO,"2800",6,"FERRETERIA",
"Piso EMA","FF-1710","ESPAGUETIS TERMICOS",UNO,"350",46,"FERRETERIA",
"Piso EMA","FF-1717","TOMACORRIENTE MODERNO",UNO,"900",0,"FERRETERIA",
"Piso EMA","FF-1719","TOMACORRIENTE E INETRUPTOR COMBINADO",UNO,"900",11,"FERRETERIA",
"Piso EMA","FF-1733","BREAKER 20A DOBLE",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1734","BREAKER 16A DOBLE",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1735","BREAKER 32A DOBLE",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1736","BREAKER 40A DOBLE",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1737","VALVULAS #14",UNO,"500",218,"FERRETERIA",
"Piso EMA","FF-1742","CABLE CARGADOR DE BATERIA",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1743","LUZ DE SERVICIO",UNO,"3500",1,"FERRETERIA",
"Piso EMA","FF-1752","CALCOMANIA",UNO,"300",196,"FERRETERIA",
"Piso EMA","FF-1753","ESCOBA",UNO,"1000",1,"FERRETERIA",
"Piso EMA","FF-1757","CABLE PARA CARGAR CELULAR",UNO,"800",0,"FERRETERIA",
"Piso EMA","FF-1758","CALCOMANIA REFLECTORES",UNO,"80",0,"FERRETERIA",
"Piso EMA","FF-1760","CAPACITOR 300MF",UNO,"4800",8,"FERRETERIA",
"Piso EMA","FF-1761","CABLE ROYAL COOL",m,"650",68,"FERRETERIA",
"Piso EMA","FF-1762","TERMO RETRACTIL (CAJA 160 PIEZAS)",UNO,"2500",10,"FERRETERIA",
"Piso EMA","FF-1763","TERMO RETRACTIL (CAJA 180 PIEZAS)",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1780","BROCHAS 3''",UNO,"700",0,"FERRETERIA",
"Piso EMA","FF-1785","CABLE DE COBRE No12",m,"700",206,"FERRETERIA",
"Piso EMA","FF-1788","BROCHAS 4''",UNO,"950",2,"FERRETERIA",
"Piso EMA","FF-1789","BROCHAS 2''",UNO,"500",0,"FERRETERIA",
